3/5/2019 14:29, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:29, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:29, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:29, CPS,2, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:29, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:29, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:29, CPS,1, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:29, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:29, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:30, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:30, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:30, CPS,1, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,2, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,1, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,1, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,1, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,2, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,1, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,1, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,1, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,2, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,1, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,2, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:30, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
